season,round,Date,HT,AT,HomeS,AwayS,result,AvgHGF,AvgHGA,AvgAGF,AvgAGA,HGF,HGA,AGF,AGA,HTHG,HTAG,HTR,HPL,HRD,HRW,APL,ARD,ARW,HSHOT,ASHOT,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
1213,1,2018-08-12,Arsenal,Sunderland,0,0,D,,,,,,,,,0,0,D,,,,,,,,,C Foy,14,3,4,2,12,8,7,0,0,0,0,0,1.4,4.5,8.5
1213,1,2018-08-12,Fulham,Norwich,5,0,H,,,,,,,,,2,0,H,,,,,,,,,M Oliver,11,4,9,2,12,11,6,3,0,0,0,0,1.8,3.6,4.5
1213,1,2018-08-12,Newcastle,Tottenham,2,1,H,,,,,,,,,0,0,D,,,,,,,,,M Atkinson,6,12,4,6,12,8,3,5,2,2,0,0,2.5,3.4,2.75
1213,1,2018-08-12,QPR,Swansea,0,5,A,,,,,,,,,0,1,A,,,,,,,,,L Probert,20,12,11,8,11,14,5,3,2,2,0,0,2,3.4,3.8
1213,1,2018-08-12,Reading,Stoke,1,1,D,,,,,,,,,0,1,A,,,,,,,,,K Friend,9,6,3,3,9,14,4,3,2,4,0,1,2.38,3.25,3.1
1213,1,2018-08-12,West Brom,Liverpool,3,0,H,,,,,,,,,1,0,H,,,,,,,,,P Dowd,15,14,10,7,10,11,7,3,1,4,0,1,4.2,3.5,1.91
1213,1,2018-08-12,West Ham,Aston Villa,1,0,H,,,,,,,,,1,0,H,,,,,,,,,M Dean,8,10,4,6,17,8,6,4,0,1,0,0,2.2,3.3,3.4
1213,1,2019-08-12,Man City,Southampton,3,2,H,,,,,,,,,1,0,H,,,,,,,,,H Webb,20,9,15,6,4,6,7,3,1,2,0,0,1.17,7.0,17.0
1213,1,2019-08-12,Wigan,Chelsea,0,2,A,,,,,,,,,0,2,A,,,,,,,,,M Jones,12,5,4,3,16,11,7,1,2,2,0,0,6,3.75,1.62
1213,1,2020-08-12,Everton,Man United,1,0,H,,,,,,,,,0,0,D,,,,,,,,,A Marriner,16,12,7,7,12,11,6,8,1,2,0,0,4.33,3.6,1.83
1213,2,2022-08-12,Chelsea,Reading,4,2,H,,,,,,,,,1,2,A,,,,,,,,,L Mason,23,7,11,5,11,14,1,5,0,2,0,0,1.25,5.5,13.0
1213,2,2025-08-12,Aston Villa,Everton,1,3,A,,,,,,,,,0,3,A,,,,,,,,,M Oliver,7,19,3,11,10,7,1,9,1,0,1,0,2.9,3.4,2.4
1213,2,2025-08-12,Chelsea,Newcastle,2,0,H,,,,,,,,,2,0,H,,,,,,,,,P Dowd,11,11,6,5,8,10,2,3,1,0,0,0,1.5,4.33,6.5
1213,2,2025-08-12,Man United,Fulham,3,2,H,,,,,,,,,3,1,H,,,,,,,,,K Friend,20,14,11,11,12,7,8,8,0,1,0,0,1.29,5.5,11.0
1213,2,2025-08-12,Norwich,QPR,1,1,D,,,,,,,,,1,1,D,,,,,,,,,M Clattenburg,13,6,4,4,15,14,6,2,0,2,0,0,2.25,3.4,3.2
1213,2,2025-08-12,Southampton,Wigan,0,2,A,,,,,,,,,0,0,D,,,,,,,,,A Taylor,14,12,9,8,11,9,10,3,0,0,0,0,2.1,3.4,3.5
1213,2,2025-08-12,Swansea,West Ham,3,0,H,,,,,,,,,2,0,H,,,,,,,,,M Atkinson,10,7,7,6,13,17,5,4,2,4,0,0,2.1,3.3,3.6
1213,2,2025-08-12,Tottenham,West Brom,1,1,D,,,,,,,,,0,0,D,,,,,,,,,M Dean,18,10,10,5,8,7,7,5,1,2,0,0,1.5,4.33,6.5
1213,2,2026-08-12,Liverpool,Man City,2,2,D,,,,,,,,,1,0,H,,,,,,,,,A Marriner,15,11,8,5,10,7,4,4,1,0,0,0,3.1,3.4,2.3
1213,2,2026-08-12,Stoke,Arsenal,0,0,D,,,,,,,,,0,0,D,,,,,,,,,L Mason,7,16,4,6,9,9,0,11,2,0,0,0,3.5,3.4,2.1
1213,3,2001-09-12,Man City,QPR,3,1,H,,,,,,,,,1,0,H,,,,,,,,,C Foy,19,9,12,5,12,3,8,3,2,1,0,0,1.18,7.0,15.0
1213,3,2001-09-12,Swansea,Sunderland,2,2,D,,,,,,,,,1,2,A,,,,,,,,,R East,14,4,10,3,11,7,8,0,1,1,1,0,2.2,3.3,3.4
1213,3,2001-09-12,Tottenham,Norwich,1,1,D,,,,,,,,,0,0,D,,,,,,,,,M Halsey,15,10,9,4,7,12,4,2,1,0,1,0,1.36,5.0,8.5
1213,3,2001-09-12,West Brom,Everton,2,0,H,,,,,,,,,0,0,D,,,,,,,,,J Moss,14,12,8,5,11,15,6,3,1,4,0,0,3,3.3,2.38
1213,3,2001-09-12,West Ham,Fulham,3,0,H,,,,,,,,,3,0,H,,,,,,,,,A Taylor,17,14,12,13,12,5,6,6,0,0,0,0,2.5,3.25,2.88
1213,3,2001-09-12,Wigan,Stoke,2,2,D,,,,,,,,,1,1,D,,,,,,,,,M Atkinson,9,16,5,8,13,11,2,1,1,2,0,0,2.25,3.25,3.3
1213,3,2002-09-12,Liverpool,Arsenal,0,2,A,,,,,,,,,0,1,A,,,,,,,,,H Webb,17,11,8,7,12,7,10,2,2,2,0,0,2,3.5,3.75
1213,3,2002-09-12,Newcastle,Aston Villa,1,1,D,,,,,,,,,0,1,A,,,,,,,,,L Probert,16,13,6,9,6,20,10,6,1,4,0,0,1.62,3.75,6.0
1213,3,2002-09-12,Southampton,Man United,2,3,A,,,,,,,,,1,1,D,,,,,,,,,M Dean,15,18,8,9,9,4,4,7,1,0,0,0,6,4.2,1.53
1213,3,2015-09-12,Arsenal,Southampton,6,1,H,,,,,,,,,4,1,H,,,,,,,,,K Friend,20,9,12,4,4,7,8,3,0,0,0,0,1.36,5.0,8.5
1213,4,2015-09-12,Aston Villa,Swansea,2,0,H,,,,,,,,,1,0,H,,,,,,,,,L Mason,17,10,13,5,11,4,11,5,3,1,0,0,2.38,3.25,3.1
1213,4,2015-09-12,Fulham,West Brom,3,0,H,,,,,,,,,2,0,H,,,,,,,,,R East,23,10,14,8,6,10,5,4,0,0,0,1,2.1,3.4,3.5
1213,4,2015-09-12,Man United,Wigan,4,0,H,,,,,,,,,0,0,D,,,,,,,,,M Oliver,17,8,10,4,10,14,5,5,2,2,0,0,1.25,6.0,12.0
1213,4,2015-09-12,Norwich,West Ham,0,0,D,,,,,,,,,0,0,D,,,,,,,,,C Foy,20,9,14,4,10,12,8,5,0,1,0,0,2.38,3.4,3.0
1213,4,2015-09-12,QPR,Chelsea,0,0,D,,,,,,,,,0,0,D,,,,,,,,,A Marriner,10,13,6,9,16,17,2,4,0,2,0,0,4.5,3.5,1.83
1213,4,2015-09-12,Stoke,Man City,1,1,D,,,,,,,,,1,1,D,,,,,,,,,M Clattenburg,4,15,3,11,12,12,6,5,0,1,0,0,5,3.6,1.73
1213,4,2015-09-12,Sunderland,Liverpool,1,1,D,,,,,,,,,1,0,H,,,,,,,,,M Atkinson,6,20,4,9,18,10,2,7,1,2,0,0,3.4,3.3,2.2
1213,4,2016-09-12,Reading,Tottenham,1,3,A,,,,,,,,,0,1,A,,,,,,,,,H Webb,4,22,2,11,4,9,7,4,0,1,0,0,3.75,3.5,2.0
1213,4,2017-09-12,Everton,Newcastle,2,2,D,,,,,,,,,1,0,H,,,,,,,,,M Jones,17,11,10,7,16,12,3,3,3,3,0,0,1.73,3.6,5.0
1213,4,2022-09-12,Chelsea,Stoke,1,0,H,,,,,,,,,0,0,D,,,,,,,,,M Oliver,17,13,9,6,12,15,13,3,2,1,0,0,1.36,4.75,9.0
1213,5,2022-09-12,Southampton,Aston Villa,4,1,H,1.25,3.5,1.0,1.25,1.25,3.5,1.0,1.25,0,1,A,0.0,0.0,0.5,0.25,0.25,0.5,0.5718253968253968,0.6213962508080155,J Moss,12,8,4,2,5,13,1,4,1,3,0,0,2.4,3.3,3.0
1213,5,2022-09-12,Swansea,Everton,0,3,A,2.5,1.0,1.5,1.25,2.5,1.0,1.5,1.25,0,2,A,0.5,0.0,0.5,0.25,0.25,0.0,0.6452380952380953,0.5053373323013416,A Taylor,18,30,11,19,23,7,8,3,4,1,1,0,3,3.3,2.4
1213,5,2022-09-12,West Brom,Reading,1,0,H,1.5,1.0,1.0,2.0,1.5,1.0,1.0,2.0,0,0,D,0.25,0.0,0.25,0.0,0.25,0.5,0.6345238095238095,0.3869047619047619,C Foy,9,8,4,1,14,6,9,1,1,0,0,0,1.73,3.75,4.75
1213,5,2022-09-12,West Ham,Sunderland,1,1,D,1.0,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0,1,A,0.5,0.0,0.25,0.0,0.5,0.0,0.6268674136321195,0.5208333333333333,L Mason,20,4,11,2,12,10,10,1,2,1,0,0,2.1,3.3,3.6
1213,5,2022-09-12,Wigan,Fulham,1,2,A,1.0,2.0,2.5,1.5,1.0,2.0,2.5,1.5,0,1,A,0.0,0.0,0.25,0.5,0.0,0.5,0.5138888888888888,0.7852907961603615,L Probert,18,12,9,9,7,13,8,7,0,3,0,0,2.4,3.3,3.0
