season,round,Date,HT,AT,HomeS,AwayS,result,AvgHGF,AvgHGA,AvgAGF,AvgAGA,HGF,HGA,AGF,AGA,HTHG,HTAG,HTR,HPL,HRD,HRW,APL,ARD,ARW,HSHOT,ASHOT,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
1112,1,2013-08-11,Blackburn,Wolves,1,2,A,,,,,,,,,1,1,D,,,,,,,,,K Friend,16,13,8,4,14,10,12,6,4,2,0,0,2.2,3.2,3.5
1112,1,2013-08-11,Fulham,Aston Villa,0,0,D,,,,,,,,,0,0,D,,,,,,,,,L Mason,13,7,9,1,10,18,2,3,2,4,0,0,2.2,3.2,3.5
1112,1,2013-08-11,Liverpool,Sunderland,1,1,D,,,,,,,,,1,0,H,,,,,,,,,P Dowd,11,15,4,6,17,12,6,3,4,4,0,0,1.57,3.6,7
1112,1,2013-08-11,Newcastle,Arsenal,0,0,D,,,,,,,,,0,0,D,,,,,,,,,P Walton,6,9,1,4,9,11,2,5,3,5,0,1,3.75,3.25,2.1
1112,1,2013-08-11,QPR,Bolton,0,4,A,,,,,,,,,0,1,A,,,,,,,,,M Atkinson,13,13,7,7,9,16,3,2,1,2,1,0,2.4,3.25,3
1112,1,2013-08-11,Wigan,Norwich,1,1,D,,,,,,,,,1,1,D,,,,,,,,,S Attwell,18,13,11,3,11,8,7,3,2,2,0,0,2.2,3.2,3.5
1112,1,2014-08-11,Stoke,Chelsea,0,0,D,,,,,,,,,0,0,D,,,,,,,,,M Halsey,6,20,3,11,12,12,4,6,2,2,0,0,5.5,3.5,1.7
1112,1,2014-08-11,West Brom,Man United,1,2,A,,,,,,,,,1,1,D,,,,,,,,,M Jones,14,11,8,5,16,9,6,5,3,2,0,0,6.5,4,1.53
1112,1,2015-08-11,Man City,Swansea,4,0,H,,,,,,,,,0,0,D,,,,,,,,,M Dean,26,8,19,5,9,2,7,4,0,0,0,0,1.29,5,13
1112,1,2020-08-11,Arsenal,Liverpool,0,2,A,,,,,,,,,0,0,D,,,,,,,,,M Atkinson,10,13,6,8,11,6,9,5,2,2,1,0,2.5,3.25,2.9
1112,2,2020-08-11,Aston Villa,Blackburn,3,1,H,,,,,,,,,2,0,H,,,,,,,,,S Attwell,9,10,6,6,9,13,5,4,3,0,0,0,1.73,3.4,5.5
1112,2,2020-08-11,Chelsea,West Brom,2,1,H,,,,,,,,,0,1,A,,,,,,,,,L Mason,22,6,12,4,12,8,7,4,2,4,0,0,1.3,5.5,10
1112,2,2020-08-11,Everton,QPR,0,1,A,,,,,,,,,0,1,A,,,,,,,,,K Friend,14,4,7,3,12,9,2,1,1,1,0,0,1.53,3.8,7
1112,2,2020-08-11,Sunderland,Newcastle,0,1,A,,,,,,,,,0,0,D,,,,,,,,,H Webb,15,12,5,10,17,7,7,6,3,3,1,0,2.2,3.25,3.4
1112,2,2020-08-11,Swansea,Wigan,0,0,D,,,,,,,,,0,0,D,,,,,,,,,P Dowd,12,10,6,4,8,18,7,7,0,3,0,0,2.1,3.3,3.6
1112,2,2021-08-11,Bolton,Man City,2,3,A,,,,,,,,,1,2,A,,,,,,,,,M Jones,6,17,4,9,19,14,7,8,2,0,0,0,4.75,3.5,1.8
1112,2,2021-08-11,Norwich,Stoke,1,1,D,,,,,,,,,1,0,H,,,,,,,,,N Swarbrick,9,15,7,5,13,12,3,6,0,2,1,0,2.6,3.3,2.75
1112,2,2021-08-11,Wolves,Fulham,2,0,H,,,,,,,,,2,0,H,,,,,,,,,M Dean,17,8,7,4,7,10,7,8,2,2,0,0,2.38,3.25,3.1
1112,2,2022-08-11,Man United,Tottenham,3,0,H,,,,,,,,,0,0,D,,,,,,,,,L Probert,27,20,21,12,12,9,11,3,1,2,0,0,1.67,3.75,5.5
1112,2,2027-08-11,Aston Villa,Wolves,0,0,D,,,,,,,,,0,0,D,,,,,,,,,M Atkinson,15,3,5,2,10,9,11,8,1,3,0,0,2.1,3.25,3.75
1112,3,2027-08-11,Blackburn,Everton,0,1,A,,,,,,,,,0,0,D,,,,,,,,,L Mason,14,9,6,4,17,13,5,4,5,2,0,0,3.3,3.25,2.25
1112,3,2027-08-11,Chelsea,Norwich,3,1,H,,,,,,,,,1,0,H,,,,,,,,,M Jones,16,9,8,6,17,14,8,6,2,2,0,1,1.2,6.5,15
1112,3,2027-08-11,Liverpool,Bolton,3,1,H,,,,,,,,,1,0,H,,,,,,,,,L Probert,17,7,9,4,5,7,12,6,0,2,0,0,1.4,4.5,8.5
1112,3,2027-08-11,Swansea,Sunderland,0,0,D,,,,,,,,,0,0,D,,,,,,,,,M Halsey,15,12,6,8,7,10,7,4,1,1,0,0,2.38,3.3,3
1112,3,2027-08-11,Wigan,QPR,2,0,H,,,,,,,,,1,0,H,,,,,,,,,M Oliver,13,19,10,9,13,8,8,7,2,0,0,0,2.25,3.3,3.25
1112,3,2028-08-11,Man United,Arsenal,8,2,H,,,,,,,,,3,1,H,,,,,,,,,H Webb,25,19,15,13,9,7,3,5,2,3,0,1,1.5,4.33,6.5
1112,3,2028-08-11,Newcastle,Fulham,2,1,H,,,,,,,,,0,0,D,,,,,,,,,K Friend,13,16,9,9,19,8,6,6,2,1,0,0,2.1,3.25,3.75
1112,3,2028-08-11,Tottenham,Man City,1,5,A,,,,,,,,,0,2,A,,,,,,,,,P Dowd,15,22,10,12,11,9,10,5,2,4,0,0,2.88,3.3,2.5
1112,3,2028-08-11,West Brom,Stoke,0,1,A,,,,,,,,,0,0,D,,,,,,,,,M Dean,16,7,7,1,9,12,5,1,0,0,0,0,2.1,3.25,3.75
1112,3,2010-09-11,Arsenal,Swansea,1,0,H,,,,,,,,,1,0,H,,,,,,,,,S Attwell,18,10,8,5,10,7,4,5,3,2,0,0,1.36,4.75,9
1112,4,2010-09-11,Bolton,Man United,0,5,A,,,,,,,,,0,3,A,,,,,,,,,A Marriner,20,13,13,9,14,1,5,7,2,0,0,0,9.0,4.5,1.4
1112,4,2010-09-11,Everton,Aston Villa,2,2,D,,,,,,,,,1,0,H,,,,,,,,,M Oliver,17,7,10,3,13,11,8,0,1,1,0,0,2.0,3.4,3.8
1112,4,2010-09-11,Man City,Wigan,3,0,H,,,,,,,,,1,0,H,,,,,,,,,M Atkinson,23,9,10,5,6,9,8,3,0,0,0,0,1.17,7,17
1112,4,2010-09-11,Stoke,Liverpool,1,0,H,,,,,,,,,1,0,H,,,,,,,,,M Clattenburg,3,20,1,11,12,13,2,12,0,1,0,0,3.25,3.3,2.25
1112,4,2010-09-11,Sunderland,Chelsea,1,2,A,,,,,,,,,0,1,A,,,,,,,,,L Probert,14,16,7,8,7,3,4,7,1,1,0,0,5.0,3.75,1.7
1112,4,2010-09-11,Wolves,Tottenham,0,2,A,,,,,,,,,0,0,D,,,,,,,,,P Walton,10,17,6,11,5,12,4,10,3,2,0,0,3.0,3.25,2.4
1112,4,2011-09-11,Fulham,Blackburn,1,1,D,,,,,,,,,1,1,D,,,,,,,,,H Webb,13,10,8,5,7,12,11,2,3,1,0,0,1.67,3.6,5.5
1112,4,2011-09-11,Norwich,West Brom,0,1,A,,,,,,,,,0,1,A,,,,,,,,,M Halsey,17,14,5,9,10,11,1,3,1,2,0,0,2.5,3.25,2.88
1112,4,2012-09-11,QPR,Newcastle,0,0,D,,,,,,,,,0,0,D,,,,,,,,,P Dowd,14,8,5,3,10,15,6,4,1,3,0,0,2.4,3.25,3
1112,4,2017-09-11,Aston Villa,Newcastle,1,1,D,,,,,,,,,1,0,H,,,,,,,,,N Swarbrick,10,21,2,13,13,10,4,9,1,1,0,0,1.91,3.4,4.2
1112,5,2017-09-11,Blackburn,Arsenal,4,3,H,0.75,1.75,0.75,2.5,0.75,1.75,0.75,2.5,1,2,A,0.0,0.0,0.25,0.25,0.0,0.25,0.5071428571428571,0.5432748538011696,A Marriner,10,24,5,16,14,9,2,13,2,1,0,0,4.2,3.4,1.91
1112,5,2017-09-11,Bolton,Norwich,1,2,A,1.75,2.75,0.75,1.5,1.75,2.75,0.75,1.5,0,2,A,0.25,0.0,0.75,0.0,0.25,0.5,0.6066391941391941,0.49233283056812466,H Webb,7,11,7,5,8,8,6,9,3,1,1,0,1.8,3.6,4.6
1112,5,2017-09-11,Everton,Wigan,3,1,H,0.75,0.75,0.75,1.0,0.75,0.75,0.75,1.0,1,1,D,0.0,0.25,0.25,0.25,0.0,0.25,0.38316993464052285,0.5839743589743589,P Walton,17,9,10,4,14,8,4,9,2,1,0,0,1.5,4,7
